model,feature_selection,number_of_features,train_accuracy,test_accuracy,training_time,train_prediction_time,testing_time,train_classification_report,test_classification_report,accuracy_gap
Extra Trees,all_features,350,0.999727965179543,0.9321343739395996,7.440764427185059,0.3439950942993164,0.1936864852905273,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       1.00      1.00      1.00      1286
          STANDING       1.00      1.00      1.00      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           1.00      7352
         macro avg       1.00      1.00      1.00      7352
      weighted avg       1.00      1.00      1.00      7352
","                    precision    recall  f1-score   support

            LAYING       0.99      1.00      1.00       537
           SITTING       0.99      0.88      0.93       491
          STANDING       0.91      0.99      0.95       532
           WALKING       0.91      0.94      0.92       496
WALKING_DOWNSTAIRS       0.94      0.83      0.88       420
  WALKING_UPSTAIRS       0.86      0.93      0.89       471

          accuracy                           0.93      2947
         macro avg       0.93      0.93      0.93      2947
      weighted avg       0.93      0.93      0.93      2947
",0.06759359123994335
Extra Trees,F-Classif,350,0.999727965179543,0.9321343739395996,8.608881950378418,0.3181519508361816,0.2036209106445312,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       1.00      1.00      1.00      1286
          STANDING       1.00      1.00      1.00      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           1.00      7352
         macro avg       1.00      1.00      1.00      7352
      weighted avg       1.00      1.00      1.00      7352
","                    precision    recall  f1-score   support

            LAYING       0.99      1.00      1.00       537
           SITTING       0.99      0.88      0.93       491
          STANDING       0.91      0.99      0.95       532
           WALKING       0.91      0.94      0.92       496
WALKING_DOWNSTAIRS       0.94      0.83      0.88       420
  WALKING_UPSTAIRS       0.86      0.93      0.89       471

          accuracy                           0.93      2947
         macro avg       0.93      0.93      0.93      2947
      weighted avg       0.93      0.93      0.93      2947
",0.06759359123994335
Extra Trees,RFE,350,1.0,0.9368849677638276,53.70448565483093,0.3531563282012939,0.203453779220581,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       1.00      1.00      1.00      1286
          STANDING       1.00      1.00      1.00      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           1.00      7352
         macro avg       1.00      1.00      1.00      7352
      weighted avg       1.00      1.00      1.00      7352
","                    precision    recall  f1-score   support

            LAYING       0.99      1.00      1.00       537
           SITTING       0.96      0.86      0.91       491
          STANDING       0.89      0.97      0.93       532
           WALKING       0.93      0.97      0.95       496
WALKING_DOWNSTAIRS       0.96      0.86      0.91       420
  WALKING_UPSTAIRS       0.89      0.94      0.92       471

          accuracy                           0.94      2947
         macro avg       0.94      0.93      0.93      2947
      weighted avg       0.94      0.94      0.94      2947
",0.06311503223617243
Logistic Regression,all_features,350,0.9832698585418934,0.9552086868001356,1.9746873378753664,0.0531094074249267,0.0345833301544189,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       0.96      0.95      0.95      1286
          STANDING       0.95      0.96      0.96      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           0.98      7352
         macro avg       0.98      0.98      0.98      7352
      weighted avg       0.98      0.98      0.98      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.96      0.87      0.91       491
          STANDING       0.89      0.96      0.93       532
           WALKING       0.92      1.00      0.96       496
WALKING_DOWNSTAIRS       1.00      0.97      0.98       420
  WALKING_UPSTAIRS       0.98      0.92      0.95       471

          accuracy                           0.96      2947
         macro avg       0.96      0.95      0.96      2947
      weighted avg       0.96      0.96      0.96      2947
",0.028061171741757818
Logistic Regression,F-Classif,350,0.9832698585418934,0.9552086868001356,2.0330703258514404,0.0588209629058837,0.0249741077423095,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       0.96      0.95      0.95      1286
          STANDING       0.95      0.96      0.96      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           0.98      7352
         macro avg       0.98      0.98      0.98      7352
      weighted avg       0.98      0.98      0.98      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.96      0.87      0.91       491
          STANDING       0.89      0.96      0.93       532
           WALKING       0.92      1.00      0.96       496
WALKING_DOWNSTAIRS       1.00      0.97      0.98       420
  WALKING_UPSTAIRS       0.98      0.92      0.95       471

          accuracy                           0.96      2947
         macro avg       0.96      0.95      0.96      2947
      weighted avg       0.96      0.96      0.96      2947
",0.028061171741757818
Logistic Regression,RFE,350,0.9933351468988032,0.9623345775364778,55.18797707557678,0.0802903175354003,0.0343036651611328,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       0.98      0.98      0.98      1286
          STANDING       0.98      0.98      0.98      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           0.99      7352
         macro avg       0.99      0.99      0.99      7352
      weighted avg       0.99      0.99      0.99      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.96      0.88      0.92       491
          STANDING       0.90      0.97      0.93       532
           WALKING       0.96      1.00      0.98       496
WALKING_DOWNSTAIRS       0.99      0.97      0.98       420
  WALKING_UPSTAIRS       0.97      0.96      0.97       471

          accuracy                           0.96      2947
         macro avg       0.96      0.96      0.96      2947
      weighted avg       0.96      0.96      0.96      2947
",0.031000569362325425
KNN,all_features,350,1.0,0.8724126230064473,0.2810626029968261,0.7312545776367188,0.3065543174743652,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       1.00      1.00      1.00      1286
          STANDING       1.00      1.00      1.00      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           1.00      7352
         macro avg       1.00      1.00      1.00      7352
      weighted avg       1.00      1.00      1.00      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.89      0.73      0.80       491
          STANDING       0.79      0.92      0.85       532
           WALKING       0.82      0.94      0.87       496
WALKING_DOWNSTAIRS       0.94      0.74      0.83       420
  WALKING_UPSTAIRS       0.84      0.87      0.86       471

          accuracy                           0.87      2947
         macro avg       0.88      0.87      0.87      2947
      weighted avg       0.88      0.87      0.87      2947
",0.12758737699355271
KNN,F-Classif,350,1.0,0.8724126230064473,0.283259630203247,0.6733779907226562,0.2970759868621826,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       1.00      1.00      1.00      1286
          STANDING       1.00      1.00      1.00      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           1.00      7352
         macro avg       1.00      1.00      1.00      7352
      weighted avg       1.00      1.00      1.00      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.89      0.73      0.80       491
          STANDING       0.79      0.92      0.85       532
           WALKING       0.82      0.94      0.87       496
WALKING_DOWNSTAIRS       0.94      0.74      0.83       420
  WALKING_UPSTAIRS       0.84      0.87      0.86       471

          accuracy                           0.87      2947
         macro avg       0.88      0.87      0.87      2947
      weighted avg       0.88      0.87      0.87      2947
",0.12758737699355271
KNN,RFE,350,1.0,0.9056667797760436,49.2586727142334,0.6208624839782715,0.2506616115570068,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       1.00      1.00      1.00      1286
          STANDING       1.00      1.00      1.00      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           1.00      7352
         macro avg       1.00      1.00      1.00      7352
      weighted avg       1.00      1.00      1.00      7352
","                    precision    recall  f1-score   support

            LAYING       0.99      0.97      0.98       537
           SITTING       0.92      0.84      0.88       491
          STANDING       0.86      0.94      0.90       532
           WALKING       0.86      0.96      0.91       496
WALKING_DOWNSTAIRS       0.94      0.78      0.85       420
  WALKING_UPSTAIRS       0.88      0.91      0.89       471

          accuracy                           0.91      2947
         macro avg       0.91      0.90      0.90      2947
      weighted avg       0.91      0.91      0.91      2947
",0.0943332202239564
RBF SVM,all_features,350,0.9793253536452666,0.9334916864608076,1.0521528720855713,2.812650203704834,1.64904522895813,"                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00      1407
           SITTING       0.95      0.94      0.94      1286
          STANDING       0.94      0.95      0.94      1374
           WALKING       1.00      1.00      1.00      1226
WALKING_DOWNSTAIRS       1.00      1.00      1.00       986
  WALKING_UPSTAIRS       1.00      1.00      1.00      1073

          accuracy                           0.98      7352
         macro avg       0.98      0.98      0.98      7352
      weighted avg       0.98      0.98      0.98      7352
","                    precision    recall  f1-score   support

            LAYING       1.00      1.00      1.00       537
           SITTING       0.95      0.85      0.89       491
          STANDING       0.87      0.96      0.91       532
           WALKING       0.90      0.97      0.93       496
WALKING_DOWNSTAIRS       0.98      0.90      0.94       420
  WALKING_UPSTAIRS       0.92      0.92      0.92       471

          accuracy                           0.93      2947
         macro avg       0.94      0.93      0.93      2947
      weighted avg       0.94      0.93      0.93      2947
",0.045833667184459026
